"","CD31m_1","CD31m_2","CD31m_3","CD31m_4","Ost_c_1","Ost_c_2","Ost_c_3","Ost_c_4","Ost_ins_1","Ost_ins_2","Ost_ins_3","Ost_ins_4"
"P52630",14.43508,14.40513,13.5421702678465,14.54531,14.59576,15.13806,15.39414,15.38527,14.99721,14.914,14.75498,15.00524
"P53582",16.17253,16.33443,16.4799,15.64849,16.09495,16.1356,15.62089,15.64119,15.90038,16.32224,16.01806,15.92428
"P54687",16.97823,16.52783,17.13013,16.01086,16.12828,16.57733,16.23866,16.27765,16.01332,16.41899,15.91894,16.29673
"P54709",16.93358,16.50658,16.38133,16.38769,16.61385,16.72808,17.00111,17.12574,16.89445,17.16029,16.9054,17.01265
"P56945",15.06686,14.72517,15.47357,14.81473,14.67281,14.17658,14.50792,14.38732,14.68056,14.14216,14.91496,14.55475
"P60891",15.71689,15.79073,15.53107,15.8233,15.92641,15.87788,15.98424,15.75698,16.07224,15.82861,16.0023,15.75594
"P61011",14.90778,14.13495,14.7416,15.05077,14.12174,13.77043,14.15398,14.17003,14.16941,14.46456,14.99669,13.80275
"P61026",16.78302,16.52186,15.65285,16.82494,16.68693,17.13585,17.16475,17.52968,17.21804,17.41607,16.9782,17.29783
"P61204",17.51868,17.15052,16.41055,17.19371,17.14682,17.60768,17.84447,17.90941,17.58,17.78959,17.51389,17.78219
"P61254",15.73482,15.98544,16.3501,15.9116,15.80112,15.68492,16.45821,16.17938,16.22768,17.78447,16.49666,16.42096
"P61421",16.52669,15.88315,15.51277,16.77071,16.44181,16.33619,16.67196,17.25662,16.61594,16.23918,16.7135,16.57053
"P61964",14.97101,15.17955,15.25047,14.9505,14.70271,14.67229,14.33749,14.31021,14.51428,14.63465,14.75103,14.20096
"P62263",17.43982,16.72354,17.79222,16.71871,17.15182,16.712,17.14549,16.98983,17.41445,17.55208,17.51793,17.06509
