"","CD31p_1","CD31p_2","CD31p_3","CD31p_4","Huv_c_1","Huv_c_2","Huv_c_3","Huv_c_4","Huv_ins_1","Huv_ins_2","Huv_ins_3","Huv_ins_4"
"P46782",17.92878,17.68834,18.01987,17.95539,18.72771,18.80896,18.80389,18.47837,18.60369,18.08022,18.593,18.25736
"P46783",16.78682,17.00679,16.71944,16.88569,17.46395,17.56668,17.57719,17.21941,17.86141,17.75615,17.67546,16.96712
"P46937",15.22031,15.88987,15.09726,15.89895,14.67221,15.00542,14.71957,14.87208,15.00381,15.03709,14.84732,14.8967
"P48163",15.09529,15.06753,14.79053,14.68684,14.84962,15.08572,15.11493,15.01167,15.36935,15.58178,15.21732,15.55849
"P48634",15.59352,16.06911,15.86945,16.38748,15.684,15.95797,15.63677,15.68433,15.93884,16.24976,15.85945,15.78821
"P50148",14.74063,14.74068,14.95599,14.39921,15.01495,15.04702,15.03633,14.96115,14.95847,14.60477,14.87632,15.29123
"P50402",16.8703,16.97383,16.94788,16.86976,16.92667,17.00188,16.85519,16.82863,16.76868,16.73175,16.76594,16.9053
"P51532",15.52145,15.41787,15.81216,15.29865,16.07057,16.03269,16.07289,15.47736,15.7641,15.66279,16.00975,15.76831
"P51858",18.19072,18.55742,17.78631,18.67331,18.09403,18.1329,17.91079,18.22834,18.1077,18.38277,17.89037,17.99302
"P53582",16.30177,16.3429,15.83287,16.45406,16.1503,15.96511,16.17852,16.46241,16.00422,16.22231,15.86305,15.87998
"P54687",17.75293,16.89586,17.48631,17.63447,17.90761,17.84862,17.81718,17.83375,17.88818,17.73016,17.74311,17.96924
"P54709",17.14927,16.86041,16.90484,17.02134,16.67992,16.82951,16.50048,16.51244,17.25723,16.88437,17.2288,17.20947
"P56945",15.26609,14.88971,15.35935,15.16614,14.85857,15.21572,15.32496,15.26504,15.46307,15.50257,15.19284,15.40727
"P60891",15.74497,15.39365,15.73056,15.57911,15.96602,16.11279,16.00057,16.02583,15.59998,15.65911,15.6,15.45581
"P61011",14.52641,14.61663,14.58542,14.46717,14.76084,15.0242,15.06532,14.70971,14.98955,14.85151,15.05461,14.9032
"P61026",16.65541,16.24854,16.76503,16.45665,16.82281,16.73616,16.6304,16.3896,16.49739,16.40849,16.77969,16.84473
"P61204",17.10658,16.7022,17.2621,17.08431,17.74548,18.02199,17.74139,17.6254,17.61701,17.41706,17.43381,18.05843
"P61254",16.29479,16.50148,16.57103,16.64565,16.82584,16.46212,16.70684,16.52337,16.0159,17.01127,16.52918,16.75765
"P61421",16.43824,16.3732,16.71005,16.13359,15.66651,15.69881,15.75606,15.266,16.14467,15.87833,16.36757,16.22754
"P61964",15.4115,15.36227,15.18616,15.55286,15.4497,15.48676,15.32138,15.5912,15.32584,15.43187,15.10059,15.12188
"P62263",17.07099,17.33469,16.76525,17.34379,17.70589,17.68152,17.49539,17.48026,17.90175,17.88576,17.65407,17.28664
"P62495",16.04592,16.19272,16.25933,15.8839,16.30635,16.5396,16.45676,16.36007,16.12693,16.49511,16.19056,16.21125
"P62633",17.1587,17.38908,16.7531,17.32387,16.97913,17.12315,17.00773,17.28701,16.9847,17.409,16.87023,16.06855
"P67775",17.68287,17.24646,17.5152,17.43806,17.60323,17.68064,17.48214,17.61314,17.47833,17.46081,17.52468,17.71602
"P78347",15.57358,15.60187,15.7345,15.59086,15.47108,15.639,15.80283,15.59438,15.77309,15.88447,15.78105,15.65839
"P78406",15.79869,16.07004,15.58282,15.97403,15.48286,15.72801,15.56821,15.90406,15.41826,15.94477,15.14358,15.31378
"P84098",17.47841,17.42536,18.07834,17.798,18.05763,17.66155,17.9111,17.9637,16.96919,17.45902,17.6998,18.11642
"P84103",18.38326,18.6601,17.94443,18.7503,18.4157,18.50769,18.05964,18.57943,18.44536,18.3836,18.11227,18.16436
"Q00059",15.22627,15.7257,15.03032,15.8759,15.09529,15.62057,15.23836,14.95902,15.76125,15.89065,15.41613,15.41929
"Q00765",16.66963,16.59559,16.90473,16.47766,16.78257,16.77511,16.58922,16.63567,16.6061,16.51248,16.76748,16.64626
"Q01105",18.04808,17.99448,17.7244,18.27325,18.08082,18.07147,17.77449,18.10609,17.92008,17.72844,17.72095,17.88134
"Q02252",14.86574,15.32154,14.54947,14.8252,13.74574,14.42015,13.85231,14.10107,14.70414,14.78777,14.63069,14.45463
"Q04837",17.72749,17.61662,17.37352,18.13698,17.4826,17.58561,17.33335,17.62428,18.03077,17.83152,17.62704,17.73013
"Q12788",17.6768,17.92991,18.31905,17.76404,18.40774,18.47719,18.5419,18.32977,18.23038,18.18129,18.32591,18.37159
"Q12792",16.37205,16.4014,16.24194,16.31619,16.32578,16.51335,16.34946,16.25422,16.16769,16.21989,16.16629,16.20215
"Q12841",14.72791,14.93356,14.61705,14.98929,14.76262,14.47582,14.62162,15.00975,14.57111,14.71624,14.38037,14.62499
"Q12907",16.73075,16.61826,16.81588,16.80367,16.83343,16.55932,16.64189,16.66076,16.66932,16.49167,16.59954,16.88195
"Q12959",16.143,16.4356,15.89662,16.35758,15.79365,15.90452,16.0286,16.127,15.82727,16.0311,15.72846,16.00778
"Q12996",17.53072,18.00854,17.27152,17.93545,17.81854,17.83414,17.51697,17.31193,17.66459,17.61709,18.02264,17.65898
"Q13242",16.53559,16.71822,16.19638,16.85936,16.17019,16.46919,16.12372,16.62594,16.18682,16.49335,16.12806,15.94914
"Q13442",16.34093,16.54811,16.18419,16.67387,16.29991,16.35699,16.31988,16.70266,16.29262,16.38725,16.08138,16.18624
"Q14011",15.36115,16.24044,15.55473,16.20729,15.69497,16.079,15.67043,15.6356,15.96848,16.20108,15.73494,15.4166
"Q14108",17.4033,16.84237,17.2802,17.04273,16.18282,16.42524,15.88163,15.9307,16.6593,16.22504,16.51937,16.70025
"Q14141",14.29048,14.74096,14.56503,14.6767,15.07267,15.21537,14.89621,15.00394,14.7023,14.63832,14.50611,14.64295
"Q14166",14.63988,14.66454,14.60502,14.40161,14.24088,14.39637,14.31947,14.19712,14.83934,14.75393,14.8811,14.96512
"Q15003",14.51408,14.61271,14.4375559134351,14.81415,15.3419,15.51862,15.23452,15.57535,14.93318,14.74189,14.63267,14.78056
"Q15056",18.1244,18.26488,17.80742,18.37736,18.27407,18.25393,18.12957,18.53011,18.16352,18.25897,17.83092,17.85969
"Q15057",15.49699,15.4439,15.36935,15.21439,15.29587,15.28369,15.33782,15.19559,15.2308,15.3552,15.25346,15.44779
"Q15154",16.08547,15.78911,15.80032,15.96537,15.32128,16.15799,15.80658,15.94329,16.23168,15.90464,16.07467,15.99671
"Q15437",14.67612,14.39778,14.6636,14.0876,13.86144,14.12153,14.49323,14.11683,14.6758,14.79771,14.9183,14.88371
"Q15642",15.35606,15.47715,15.45976,15.65387,14.87244,15.09075,14.95278,15.11326,15.4063,15.21896,15.24934,14.97546
